model,odometer,price,DAS,accident_history,EMI,State Abb,State
Model S,36438,53300,Autopilot,Previously Repaired,824,CA,California
Model S,95696,36100,Enhanced Autopilot,No Accidents,514,AZ,Arizona
Model S,36438,53300,Autopilot,Previously Repaired,824,CA,California
Model S,95696,36100,Enhanced Autopilot,No Accidents,514,AZ,Arizona
Model S,95696,36100,Enhanced Autopilot,No Accidents,514,AZ,Arizona
Model S,95696,36100,Enhanced Autopilot,No Accidents,514,AZ,Arizona
Model S,95696,36100,Enhanced Autopilot,No Accidents,514,AZ,Arizona
Model S,95696,36100,Enhanced Autopilot,No Accidents,514,AZ,Arizona
Model S,95696,36100,Enhanced Autopilot,No Accidents,514,AZ,Arizona
Model S,36438,53300,Autopilot,Previously Repaired,824,CA,California
Model S,62440,34900,Enhanced Autopilot,No Accidents,493,IL,Illinois
Model S,78029,35800,Autopilot,Previously Repaired,509,IL,Illinois
Model S,95696,36100,Enhanced Autopilot,No Accidents,514,AZ,Arizona
Model S,56287,36800,Autopilot,No Accidents,527,FL,Florida
Model S,65548,37500,Autopilot,No Accidents,540,FL,Florida
Model S,50142,37900,Autopilot,Previously Repaired,547,FL,Florida
Model S,36197,38100,Enhanced Autopilot,No Accidents,550,MD,Maryland
Model S,57440,38200,Enhanced Autopilot,No Accidents,552,WA,Washington
Model S,61745,38500,Autopilot,Previously Repaired,558,MD,Maryland
Model S,32523,38500,Autopilot,No Accidents,558,WA,Washington
Model S,29461,40400,Enhanced Autopilot,Previously Repaired,592,MD,Maryland
Model S,46116,40500,Autopilot,No Accidents,594,MD,Maryland
Model S,47668,41200,Enhanced Autopilot,Previously Repaired,606,MD,Maryland
Model S,38966,42000,Autopilot,No Accidents,621,NJ,New Jersey
Model S,40811,42700,Autopilot,No Accidents,633,MD,Maryland
Model S,31239,42900,Enhanced Autopilot,No Accidents,637,GA,Georgia
Model S,31240,44100,Enhanced Autopilot,Previously Repaired,658,TN,Tennessee
Model S,66754,45000,Autopilot,Previously Repaired,674,MN,Minnesota
